Unnamed: 0,Title,Rank,Type,Episodes,Aired,Members,page_url,image_url,Score
6696,Zombieland Saga Revenge,584,TV,12,Apr 2021 - Jun 2021,203586,https://myanimelist.net/anime/40174/Zombieland_Saga_Revenge,https://myanimelist.net/anime/40174/Zombieland_Saga_Revenge/pics,8.01
6697,Yahabe,11773,OVA,1,Aug 2012 - Aug 2012,251,https://myanimelist.net/anime/52009/Yahabe,https://myanimelist.net/anime/52009/Yahabe/pics,5.14
6698,Fushigi no Umi no Nadia,1655,TV,39,Apr 1990 - Apr 1991,65145,https://myanimelist.net/anime/1251/Fushigi_no_Umi_no_Nadia,https://myanimelist.net/anime/1251/Fushigi_no_Umi_no_Nadia/pics,7.52
6699,Muteki Koujin Daitarn 3,3305,TV,40,Jun 1978 - Mar 1979,3663,https://myanimelist.net/anime/3305/Muteki_Koujin_Daitarn_3,https://myanimelist.net/anime/3305/Muteki_Koujin_Daitarn_3/pics,7.15
6700,Quiz Magic Academy: The Original Animation,8608,OVA,1,Sep 2008 - Sep 2008,10317,https://myanimelist.net/anime/5080/Quiz_Magic_Academy__The_Original_Animation,https://myanimelist.net/anime/5080/Quiz_Magic_Academy__The_Original_Animation/pics,6.06
6701,Mayo Chiki!,2907,TV,13,Jul 2011 - Sep 2011,481049,https://myanimelist.net/anime/10110/Mayo_Chiki,https://myanimelist.net/anime/10110/Mayo_Chiki/pics,7.23
6702,Seirei no Moribito,432,TV,26,Apr 2007 - Sep 2007,212137,https://myanimelist.net/anime/1827/Seirei_no_Moribito,https://myanimelist.net/anime/1827/Seirei_no_Moribito/pics,8.13
6703,Tantei Opera Milky Holmes: Summer Special,4308,Special,1,Aug 2011 - Aug 2011,7160,https://myanimelist.net/anime/10923/Tantei_Opera_Milky_Holmes__Summer_Special,https://myanimelist.net/anime/10923/Tantei_Opera_Milky_Holmes__Summer_Special/pics,6.93
6704,Slayers Try,897,TV,26,Apr 1997 - Sep 1997,53692,https://myanimelist.net/anime/1172/Slayers_Try,https://myanimelist.net/anime/1172/Slayers_Try/pics,7.81
6705,KJ File,12248,TV,13,Jul 2022 - Oct 2022,8203,https://myanimelist.net/anime/51773/KJ_File,https://myanimelist.net/anime/51773/KJ_File/pics,4.83
6706,Magical Suite Prism Nana,9708,OVA,7,Nov 2015 -,9256,https://myanimelist.net/anime/15407/Magical_Suite_Prism_Nana,https://myanimelist.net/anime/15407/Magical_Suite_Prism_Nana/pics,5.8
