Unnamed: 0,Title,Rank,Type,Episodes,Aired,Members,page_url,image_url,Score
0,Net-juu no Susume,1568,TV,10,Oct 2017 - Dec 2017,450968,https://myanimelist.net/anime/36038/Net-juu_no_Susume,https://myanimelist.net/anime/36038/Net-juu_no_Susume/pics,7.55
1,Neon Genesis Evangelion: The End of Evangelion,99,Movie,1,Jul 1997 - Jul 1997,883576,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion/pics,8.55
2,Templex,11445,Movie,1,2015 - 2015,538,https://myanimelist.net/anime/40721/Templex,https://myanimelist.net/anime/40721/Templex/pics,5.29
3,s.CRY.ed,2248,TV,26,Jul 2001 - Dec 2001,81283,https://myanimelist.net/anime/168/sCRYed,https://myanimelist.net/anime/168/sCRYed/pics,7.36
4,Toaru Majutsu no Index-tan III,6679,Special,2,Dec 2018 - Apr 2019,11370,https://myanimelist.net/anime/39094/Toaru_Majutsu_no_Index-tan_III,https://myanimelist.net/anime/39094/Toaru_Majutsu_no_Index-tan_III/pics,6.44
5,Hana to Mogura,10991,Movie,1,1970 - 1970,595,https://myanimelist.net/anime/13089/Hana_to_Mogura,https://myanimelist.net/anime/13089/Hana_to_Mogura/pics,5.45
6,Drifters (OVA): Kokuou-sama Goranshin,7084,Special,1,Dec 2017 - Dec 2017,7242,https://myanimelist.net/anime/37046/Drifters_OVA__Kokuou-sama_Goranshin,https://myanimelist.net/anime/37046/Drifters_OVA__Kokuou-sama_Goranshin/pics,6.37
7,Himitsukessha Taka no Tsume,8653,TV,11,Apr 2006 - Jun 2006,1216,https://myanimelist.net/anime/4737/Himitsukessha_Taka_no_Tsume,https://myanimelist.net/anime/4737/Himitsukessha_Taka_no_Tsume/pics,6.05
8,Nyanpire The Animation,5629,TV,12,Jul 2011 - Sep 2011,27709,https://myanimelist.net/anime/10197/Nyanpire_The_Animation,https://myanimelist.net/anime/10197/Nyanpire_The_Animation/pics,6.65
9,.hack//Intermezzo,6284,Special,1,Mar 2003 - Mar 2003,23083,https://myanimelist.net/anime/1143/hack__Intermezzo,https://myanimelist.net/anime/1143/hack__Intermezzo/pics,6.52
10,Banana Fish,133,TV,24,Jul 2018 - Dec 2018,814329,https://myanimelist.net/anime/36649/Banana_Fish,https://myanimelist.net/anime/36649/Banana_Fish/pics,8.48
11,Persona 4 the Animation,1729,TV,25,Oct 2011 - Mar 2012,257383,https://myanimelist.net/anime/10588/Persona_4_the_Animation,https://myanimelist.net/anime/10588/Persona_4_the_Animation/pics,7.5
12,Jirijiri Moyou no Ryuuryuu Tenten,10898,ONA,1,Jul 2012 - Jul 2012,367,https://myanimelist.net/anime/37546/Jirijiri_Moyou_no_Ryuuryuu_Tenten,https://myanimelist.net/anime/37546/Jirijiri_Moyou_no_Ryuuryuu_Tenten/pics,5.48
13,Romantic Killer,524,ONA,12,Oct 2022 - Oct 2022,159661,https://myanimelist.net/anime/52865/Romantic_Killer,https://myanimelist.net/anime/52865/Romantic_Killer/pics,8.06
14,Himote House,10273,TV,12,Oct 2018 - Dec 2018,17255,https://myanimelist.net/anime/36945/Himote_House,https://myanimelist.net/anime/36945/Himote_House/pics,5.66
15,Precure All Stars Movie New Stage: Mirai no Tomodachi,3309,Movie,1,Mar 2012 - Mar 2012,5626,https://myanimelist.net/anime/12221/Precure_All_Stars_Movie_New_Stage__Mirai_no_Tomodachi,https://myanimelist.net/anime/12221/Precure_All_Stars_Movie_New_Stage__Mirai_no_Tomodachi/pics,7.15
16,Super Bikkuriman,6982,TV,44,May 1992 - Apr 1993,640,https://myanimelist.net/anime/6583/Super_Bikkuriman,https://myanimelist.net/anime/6583/Super_Bikkuriman/pics,6.39
17,Katarina Nounai Kaigi X,10468,ONA,23,Jun 2021 - Sep 2021,4645,https://myanimelist.net/anime/49501/Katarina_Nounai_Kaigi_X,https://myanimelist.net/anime/49501/Katarina_Nounai_Kaigi_X/pics,5.61
18,Ring ni Kakero 1: Sekai Taikai-hen,6814,TV,6,Apr 2011 - Jun 2011,1501,https://myanimelist.net/anime/10346/Ring_ni_Kakero_1__Sekai_Taikai-hen,https://myanimelist.net/anime/10346/Ring_ni_Kakero_1__Sekai_Taikai-hen/pics,6.42
19,Kageyama Tamio no Double Fantasy,9139,Special,1,Jan 1994 - Jan 1994,590,https://myanimelist.net/anime/41325/Kageyama_Tamio_no_Double_Fantasy,https://myanimelist.net/anime/41325/Kageyama_Tamio_no_Double_Fantasy/pics,5.94
20,Keijo!!!!!!!!,4285,TV,12,Oct 2016 - Dec 2016,389224,https://myanimelist.net/anime/32686/Keijo,https://myanimelist.net/anime/32686/Keijo/pics,6.93
21,Hi☆sCoool! SeHa Girls,6498,TV,13,Oct 2014 - Dec 2014,11685,https://myanimelist.net/anime/23787/Hi☆sCoool_SeHa_Girls,https://myanimelist.net/anime/23787/Hi☆sCoool_SeHa_Girls/pics,6.48
22,Kyuuketsuhime Miyu (TV),3271,TV,26,Oct 1997 - Mar 1998,38764,https://myanimelist.net/anime/690/Kyuuketsuhime_Miyu_TV,https://myanimelist.net/anime/690/Kyuuketsuhime_Miyu_TV/pics,7.16
23,Landscape,12441,Movie,1,2004 - 2004,452,https://myanimelist.net/anime/30814/Landscape,https://myanimelist.net/anime/30814/Landscape/pics,4.65
24,Toaru Majutsu no Index,2257,TV,24,Oct 2008 - Mar 2009,791235,https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index,https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index/pics,7.36
25,Puparia,1347,ONA,1,Nov 2020 - Nov 2020,45456,https://myanimelist.net/anime/44059/Puparia,https://myanimelist.net/anime/44059/Puparia/pics,7.62
26,Kobato.,651,TV,24,Oct 2009 - Mar 2010,163055,https://myanimelist.net/anime/5678/Kobato,https://myanimelist.net/anime/5678/Kobato/pics,7.95
27,DD Hokuto no Ken,8643,TV,12,Jan 2011 - Apr 2011,4963,https://myanimelist.net/anime/10177/DD_Hokuto_no_Ken,https://myanimelist.net/anime/10177/DD_Hokuto_no_Ken/pics,6.05
28,Princess Connect! Re:Dive,3793,TV,13,Apr 2020 - Jun 2020,272807,https://myanimelist.net/anime/39292/Princess_Connect_Re_Dive,https://myanimelist.net/anime/39292/Princess_Connect_Re_Dive/pics,7.05
29,Miyako,9223,ONA,1,Sep 2012 - Sep 2012,519,https://myanimelist.net/anime/37530/Miyako,https://myanimelist.net/anime/37530/Miyako/pics,5.92
30,Bungou to Alchemist: Shinpan no Haguruma,6474,TV,13,Apr 2020 - Aug 2020,50498,https://myanimelist.net/anime/40934/Bungou_to_Alchemist__Shinpan_no_Haguruma,https://myanimelist.net/anime/40934/Bungou_to_Alchemist__Shinpan_no_Haguruma/pics,6.49
31,Kiddy GiRL-AND Pilot,5717,OVA,1,May 2007 - May 2007,4848,https://myanimelist.net/anime/5859/Kiddy_GiRL-AND_Pilot,https://myanimelist.net/anime/5859/Kiddy_GiRL-AND_Pilot/pics,6.63
32,Hendo Garden,12013,Special,1,Jun 2015 - Jun 2015,266,https://myanimelist.net/anime/36675/Hendo_Garden,https://myanimelist.net/anime/36675/Hendo_Garden/pics,5.01
33,Diabolik Lovers OVA,10089,OVA,1,Feb 2015 - Feb 2015,38683,https://myanimelist.net/anime/27417/Diabolik_Lovers_OVA,https://myanimelist.net/anime/27417/Diabolik_Lovers_OVA/pics,5.71
34,Tenkuu Senki Shurato,3163,TV,38,Apr 1989 - Jan 1990,10694,https://myanimelist.net/anime/2113/Tenkuu_Senki_Shurato,https://myanimelist.net/anime/2113/Tenkuu_Senki_Shurato/pics,7.18
35,Norimono Oukoku BuBu ChaCha,5727,TV,26,Apr 1999 - Nov 1999,909,https://myanimelist.net/anime/4054/Norimono_Oukoku_BuBu_ChaCha,https://myanimelist.net/anime/4054/Norimono_Oukoku_BuBu_ChaCha/pics,6.63
36,Urvan,9562,ONA,1,Feb 2021 - Feb 2021,947,https://myanimelist.net/anime/45518/Urvan,https://myanimelist.net/anime/45518/Urvan/pics,5.84
37,Muhyo to Rouji no Mahouritsu Soudan Jimusho,5328,TV,12,Aug 2018 - Oct 2018,51328,https://myanimelist.net/anime/37487/Muhyo_to_Rouji_no_Mahouritsu_Soudan_Jimusho,https://myanimelist.net/anime/37487/Muhyo_to_Rouji_no_Mahouritsu_Soudan_Jimusho/pics,6.71
38,Hokuto no Ken: Yuria-den,3628,OVA,1,Feb 2007 - Feb 2007,8730,https://myanimelist.net/anime/3027/Hokuto_no_Ken__Yuria-den,https://myanimelist.net/anime/3027/Hokuto_no_Ken__Yuria-den/pics,7.09
39,Zettai Shougeki: Platonic Heart,12506,OVA,5,Oct 2008 - Feb 2009,16805,https://myanimelist.net/anime/5020/Zettai_Shougeki__Platonic_Heart,https://myanimelist.net/anime/5020/Zettai_Shougeki__Platonic_Heart/pics,4.59
40,Detective Conan Movie 15: Quarter of Silence,590,Movie,1,Apr 2011 - Apr 2011,46452,https://myanimelist.net/anime/9963/Detective_Conan_Movie_15__Quarter_of_Silence,https://myanimelist.net/anime/9963/Detective_Conan_Movie_15__Quarter_of_Silence/pics,8.0
41,W-Tails Cat: A Strange Presence,11932,ONA,7,May 2013 - Oct 2013,641,https://myanimelist.net/anime/20261/W-Tails_Cat__A_Strange_Presence,https://myanimelist.net/anime/20261/W-Tails_Cat__A_Strange_Presence/pics,5.06
42,Psychic Force,11593,OVA,2,May 1998 - May 1998,2295,https://myanimelist.net/anime/1027/Psychic_Force,https://myanimelist.net/anime/1027/Psychic_Force/pics,5.23
43,Children,9443,ONA,1,Jun 2011 - Jun 2011,3011,https://myanimelist.net/anime/39290/Children,https://myanimelist.net/anime/39290/Children/pics,5.87
44,Karakuri Kengou Den Musashi Lord,8066,TV,50,Oct 1990 - Sep 1991,776,https://myanimelist.net/anime/8065/Karakuri_Kengou_Den_Musashi_Lord,https://myanimelist.net/anime/8065/Karakuri_Kengou_Den_Musashi_Lord/pics,6.17
45,Sora no Momotarou,11991,Movie,1,Oct 1931 - Oct 1931,1446,https://myanimelist.net/anime/4390/Sora_no_Momotarou,https://myanimelist.net/anime/4390/Sora_no_Momotarou/pics,5.03
46,Ranma ½: DoCo Music Video,5058,OVA,1,Aug 1995 - Aug 1995,3881,https://myanimelist.net/anime/10824/Ranma_½__DoCo_Music_Video,https://myanimelist.net/anime/10824/Ranma_½__DoCo_Music_Video/pics,6.76
47,Break-Age,10263,OVA,1,Sep 1999 - Sep 1999,861,https://myanimelist.net/anime/6447/Break-Age,https://myanimelist.net/anime/6447/Break-Age/pics,5.66
48,TWD Express Rolling Takeoff,11066,Movie,1,Jul 1987 - Jul 1987,490,https://myanimelist.net/anime/12901/TWD_Express_Rolling_Takeoff,https://myanimelist.net/anime/12901/TWD_Express_Rolling_Takeoff/pics,5.43
49,Monogatari no Aru Satou,9336,ONA,1,Oct 2017 - Oct 2017,495,https://myanimelist.net/anime/36578/Monogatari_no_Aru_Satou,https://myanimelist.net/anime/36578/Monogatari_no_Aru_Satou/pics,5.9
50,"Kono Healer, Mendokusai",7176,TV,12,Apr 2022 - Jun 2022,53570,https://myanimelist.net/anime/48742/Kono_Healer_Mendokusai,https://myanimelist.net/anime/48742/Kono_Healer_Mendokusai/pics,6.35
51,Kobayashi-san Chi no Maid Dragon S,244,TV,12,Jul 2021 - Sep 2021,522991,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S/pics,8.3
52,Princess Principal: Crown Handler Movie 2 - Revealing Reviews,6181,Special,1,Mar 2022 - Mar 2022,2986,https://myanimelist.net/anime/50919/Princess_Principal__Crown_Handler_Movie_2_-_Revealing_Reviews,https://myanimelist.net/anime/50919/Princess_Principal__Crown_Handler_Movie_2_-_Revealing_Reviews/pics,6.54
53,Healer Girl,2417,TV,12,Apr 2022 - Jun 2022,30256,https://myanimelist.net/anime/48857/Healer_Girl,https://myanimelist.net/anime/48857/Healer_Girl/pics,7.33
54,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,1407,Movie,1,May 2021 - May 2021,67364,https://myanimelist.net/anime/38086/Fate_Grand_Order__Shinsei_Entaku_Ryouiki_Camelot_2_-_Paladin__Agateram,https://myanimelist.net/anime/38086/Fate_Grand_Order__Shinsei_Entaku_Ryouiki_Camelot_2_-_Paladin__Agateram/pics,7.59
55,Usavich II,3819,TV,13,Oct 2007 - Jan 2008,4977,https://myanimelist.net/anime/3738/Usavich_II,https://myanimelist.net/anime/3738/Usavich_II/pics,7.04
56,Mayonaka no Occult Koumuin,5190,TV,12,Apr 2019 - Jun 2019,63703,https://myanimelist.net/anime/37964/Mayonaka_no_Occult_Koumuin,https://myanimelist.net/anime/37964/Mayonaka_no_Occult_Koumuin/pics,6.73
57,Black Jack: Sora kara Kita Kodomo,5451,OVA,1,Mar 2000 - Mar 2000,3471,https://myanimelist.net/anime/6246/Black_Jack__Sora_kara_Kita_Kodomo,https://myanimelist.net/anime/6246/Black_Jack__Sora_kara_Kita_Kodomo/pics,6.68
58,Fairy Tail x Rave,3348,OVA,1,Aug 2013 - Aug 2013,122755,https://myanimelist.net/anime/18393/Fairy_Tail_x_Rave,https://myanimelist.net/anime/18393/Fairy_Tail_x_Rave/pics,7.14
59,Sekai Meisaku Douwa: Aladdin to Mahou no Lamp,8372,Movie,1,Mar 1982 - Mar 1982,1585,https://myanimelist.net/anime/3757/Sekai_Meisaku_Douwa__Aladdin_to_Mahou_no_Lamp,https://myanimelist.net/anime/3757/Sekai_Meisaku_Douwa__Aladdin_to_Mahou_no_Lamp/pics,6.11
60,City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,2271,Special,1,Apr 1999 - Apr 1999,5923,https://myanimelist.net/anime/1479/City_Hunter__Kinkyuu_Namachuukei_Kyouakuhan_Saeba_Ryou_no_Saigo,https://myanimelist.net/anime/1479/City_Hunter__Kinkyuu_Namachuukei_Kyouakuhan_Saeba_Ryou_no_Saigo/pics,7.36
61,Hakuouki Movie 2: Shikon Soukyuu,1146,Movie,1,Mar 2014 - Mar 2014,21655,https://myanimelist.net/anime/13119/Hakuouki_Movie_2__Shikon_Soukyuu,https://myanimelist.net/anime/13119/Hakuouki_Movie_2__Shikon_Soukyuu/pics,7.7
62,BlazBlue: Alter Memory Specials,8848,Special,6,Dec 2013 - May 2014,3683,https://myanimelist.net/anime/32502/BlazBlue__Alter_Memory_Specials,https://myanimelist.net/anime/32502/BlazBlue__Alter_Memory_Specials/pics,6.0
63,"Masamune-kun no Revenge: Uchi no Mama ni Kagitte/Tsunade Shima, Futatabi./12-Ji wo Sugita Cinderella",6171,OVA,1,Jul 2018 - Jul 2018,107786,https://myanimelist.net/anime/37377/Masamune-kun_no_Revenge__Uchi_no_Mama_ni_Kagitte_Tsunade_Shima_Futatabi_12-Ji_wo_Sugita_Cinderella,https://myanimelist.net/anime/37377/Masamune-kun_no_Revenge__Uchi_no_Mama_ni_Kagitte_Tsunade_Shima_Futatabi_12-Ji_wo_Sugita_Cinderella/pics,6.54
64,Monkey Turn V,4491,TV,25,Jul 2004 - Dec 2004,922,https://myanimelist.net/anime/2741/Monkey_Turn_V,https://myanimelist.net/anime/2741/Monkey_Turn_V/pics,6.88
65,One Punch Man Specials,1155,Special,6,Dec 2015 - May 2016,308644,https://myanimelist.net/anime/31772/One_Punch_Man_Specials,https://myanimelist.net/anime/31772/One_Punch_Man_Specials/pics,7.7
66,Boku no Hero Academia,743,TV,13,Apr 2016 - Jun 2016,2893115,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia/pics,7.89
67,Mirai Nikki: Redial,2523,OVA,1,Jun 2013 - Jun 2013,346771,https://myanimelist.net/anime/16762/Mirai_Nikki__Redial,https://myanimelist.net/anime/16762/Mirai_Nikki__Redial/pics,7.3
68,Honoo no Mirage: Muyou no Michi,8414,Special,1,Feb 2002 - Feb 2002,1551,https://myanimelist.net/anime/40104/Honoo_no_Mirage__Muyou_no_Michi,https://myanimelist.net/anime/40104/Honoo_no_Mirage__Muyou_no_Michi/pics,6.1
69,Peeping Life: YouTuber-kun,12648,ONA,4,Aug 2013 - Aug 2013,809,https://myanimelist.net/anime/20955/Peeping_Life__YouTuber-kun,https://myanimelist.net/anime/20955/Peeping_Life__YouTuber-kun/pics,4.27
70,Overlord: Oukoku no Kan-tachi - Drama CD-tsuki Tokusou-ban,7861,ONA,1,Jan 2014 - Jan 2014,12289,https://myanimelist.net/anime/37264/Overlord__Oukoku_no_Kan-tachi_-_Drama_CD-tsuki_Tokusou-ban,https://myanimelist.net/anime/37264/Overlord__Oukoku_no_Kan-tachi_-_Drama_CD-tsuki_Tokusou-ban/pics,6.21
71,Koi to Senkyo to Chocolate: Koi Imouto!,4749,Special,1,Mar 2013 - Mar 2013,37747,https://myanimelist.net/anime/18045/Koi_to_Senkyo_to_Chocolate__Koi_Imouto,https://myanimelist.net/anime/18045/Koi_to_Senkyo_to_Chocolate__Koi_Imouto/pics,6.83
72,RahXephon: Tagen Hensoukyoku,4009,Movie,1,Apr 2003 - Apr 2003,15392,https://myanimelist.net/anime/758/RahXephon__Tagen_Hensoukyoku,https://myanimelist.net/anime/758/RahXephon__Tagen_Hensoukyoku/pics,7.0
73,Masuda Kousuke Gekijou Gag Manga Biyori +,4374,TV,12,Jan 2010 - Jun 2010,2455,https://myanimelist.net/anime/7761/Masuda_Kousuke_Gekijou_Gag_Manga_Biyori__,https://myanimelist.net/anime/7761/Masuda_Kousuke_Gekijou_Gag_Manga_Biyori__/pics,6.91
74,Doraemon Movie 36: Shin Nobita no Nippon Tanjou,2339,Movie,1,Mar 2016 - Mar 2016,5450,https://myanimelist.net/anime/31201/Doraemon_Movie_36__Shin_Nobita_no_Nippon_Tanjou,https://myanimelist.net/anime/31201/Doraemon_Movie_36__Shin_Nobita_no_Nippon_Tanjou/pics,7.34
75,11:08,10695,ONA,1,Nov 2012 - Nov 2012,331,https://myanimelist.net/anime/51078/11_08,https://myanimelist.net/anime/51078/11_08/pics,5.54
76,No Game No Life: Zero,357,Movie,1,Jul 2017 - Jul 2017,835562,https://myanimelist.net/anime/33674/No_Game_No_Life__Zero,https://myanimelist.net/anime/33674/No_Game_No_Life__Zero/pics,8.19
77,Doraemon: Nobita's the Night Before a Wedding,3410,Movie,1,Mar 1999 - Mar 1999,3070,https://myanimelist.net/anime/2660/Doraemon__Nobitas_the_Night_Before_a_Wedding,https://myanimelist.net/anime/2660/Doraemon__Nobitas_the_Night_Before_a_Wedding/pics,7.13
78,Ganbare Douki-chan,6153,ONA,12,Sep 2021 - Dec 2021,102045,https://myanimelist.net/anime/49605/Ganbare_Douki-chan,https://myanimelist.net/anime/49605/Ganbare_Douki-chan/pics,6.54
79,Soredemo Machi wa Mawatteiru,1943,TV,12,Oct 2010 - Dec 2010,61489,https://myanimelist.net/anime/8726/Soredemo_Machi_wa_Mawatteiru,https://myanimelist.net/anime/8726/Soredemo_Machi_wa_Mawatteiru/pics,7.44
80,Reikenzan: Hoshikuzu-tachi no Utage,3845,TV,12,Jan 2016 - Mar 2016,93464,https://myanimelist.net/anime/32094/Reikenzan__Hoshikuzu-tachi_no_Utage,https://myanimelist.net/anime/32094/Reikenzan__Hoshikuzu-tachi_no_Utage/pics,7.04
81,100% Pascal-sensei,11462,ONA,6,Oct 2016 - Mar 2017,701,https://myanimelist.net/anime/35447/100_Pascal-sensei,https://myanimelist.net/anime/35447/100_Pascal-sensei/pics,5.28
82,Hello Kitty no Cinderella (OVA),10148,OVA,1,Nov 2001 - Nov 2001,668,https://myanimelist.net/anime/30264/Hello_Kitty_no_Cinderella_OVA,https://myanimelist.net/anime/30264/Hello_Kitty_no_Cinderella_OVA/pics,5.69
83,"Ququ Bucai, Zaixia Yeguai",4888,ONA,12,Apr 2023 - Jun 2023,3298,https://myanimelist.net/anime/54772/Ququ_Bucai_Zaixia_Yeguai,https://myanimelist.net/anime/54772/Ququ_Bucai_Zaixia_Yeguai/pics,6.8
84,Padak Padak,5801,Movie,1,Jul 2012 - Jul 2012,899,https://myanimelist.net/anime/33238/Padak_Padak,https://myanimelist.net/anime/33238/Padak_Padak/pics,6.61
85,Change!! Getter Robo: Sekai Saigo no Hi,1070,OVA,13,Aug 1998 - May 1999,14926,https://myanimelist.net/anime/978/Change_Getter_Robo__Sekai_Saigo_no_Hi,https://myanimelist.net/anime/978/Change_Getter_Robo__Sekai_Saigo_no_Hi/pics,7.73
86,Zhan Qiannian,5445,ONA,16,Jul 2022 - Oct 2022,761,https://myanimelist.net/anime/51517/Zhan_Qiannian,https://myanimelist.net/anime/51517/Zhan_Qiannian/pics,6.68
87,Pussycat,12664,ONA,1,Dec 2008 - Dec 2008,5279,https://myanimelist.net/anime/11687/Pussycat,https://myanimelist.net/anime/11687/Pussycat/pics,4.19
88,Papuwa,5633,TV,26,Sep 2003 - Mar 2004,1755,https://myanimelist.net/anime/2501/Papuwa,https://myanimelist.net/anime/2501/Papuwa/pics,6.65
89,Kiddy Grade: Maelstrom,3931,Movie,1,Jun 2007 - Jun 2007,4618,https://myanimelist.net/anime/3222/Kiddy_Grade__Maelstrom,https://myanimelist.net/anime/3222/Kiddy_Grade__Maelstrom/pics,7.02
90,Heisei Tensai Bakabon,9254,TV,46,Jan 1990 - Dec 1990,779,https://myanimelist.net/anime/19961/Heisei_Tensai_Bakabon,https://myanimelist.net/anime/19961/Heisei_Tensai_Bakabon/pics,5.92
91,Nyago Dance,12497,Movie,1,1932 - 1932,419,https://myanimelist.net/anime/35747/Nyago_Dance,https://myanimelist.net/anime/35747/Nyago_Dance/pics,4.59
92,Jormungand: Perfect Order,740,TV,12,Oct 2012 - Dec 2012,185761,https://myanimelist.net/anime/13331/Jormungand__Perfect_Order,https://myanimelist.net/anime/13331/Jormungand__Perfect_Order/pics,7.9
93,Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,3429,Movie,1,Jul 2021 - Jul 2021,73269,https://myanimelist.net/anime/46420/Nanatsu_no_Taizai_Movie_2__Hikari_ni_Norowareshi_Mono-tachi,https://myanimelist.net/anime/46420/Nanatsu_no_Taizai_Movie_2__Hikari_ni_Norowareshi_Mono-tachi/pics,7.13
94,The Marginal Service,10926,TV,12,Apr 2023 - Jun 2023,18904,https://myanimelist.net/anime/53587/The_Marginal_Service,https://myanimelist.net/anime/53587/The_Marginal_Service/pics,5.47
95,Bakuen Campus Guardress,9260,OVA,4,May 1994 - Nov 1994,3534,https://myanimelist.net/anime/2023/Bakuen_Campus_Guardress,https://myanimelist.net/anime/2023/Bakuen_Campus_Guardress/pics,5.91
96,Murenase! Seton Gakuen,4221,TV,12,Jan 2020 - Mar 2020,191747,https://myanimelist.net/anime/40483/Murenase_Seton_Gakuen,https://myanimelist.net/anime/40483/Murenase_Seton_Gakuen/pics,6.95
97,"Taisetsu na Kazoku wo Tsutsumu, Sono Te.",8897,ONA,1,Nov 2017 - Nov 2017,315,https://myanimelist.net/anime/37790/Taisetsu_na_Kazoku_wo_Tsutsumu_Sono_Te,https://myanimelist.net/anime/37790/Taisetsu_na_Kazoku_wo_Tsutsumu_Sono_Te/pics,5.99
98,Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,4914,OVA,1,Jul 2010 - Jul 2010,40558,https://myanimelist.net/anime/9063/Toaru_Kagaku_no_Railgun__Entenka_no_Satsuei_Model_mo_Raku_Ja_Arimasen_wa_ne,https://myanimelist.net/anime/9063/Toaru_Kagaku_no_Railgun__Entenka_no_Satsuei_Model_mo_Raku_Ja_Arimasen_wa_ne/pics,6.79
99,Shirayuki Hime no Densetsu,5501,TV,52,Apr 1994 - Mar 1995,3523,https://myanimelist.net/anime/3809/Shirayuki_Hime_no_Densetsu,https://myanimelist.net/anime/3809/Shirayuki_Hime_no_Densetsu/pics,6.67
100,Suzumiya Haruhi no Shoushitsu,82,Movie,1,Feb 2010 - Feb 2010,591529,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu/pics,8.61
101,Mameshiba Bangai-hen,11508,Special,11,2008 - Dec 2022,538,https://myanimelist.net/anime/33552/Mameshiba_Bangai-hen,https://myanimelist.net/anime/33552/Mameshiba_Bangai-hen/pics,5.27
102,Mameneko,9011,TV,12,Jan 2018 - Mar 2018,1544,https://myanimelist.net/anime/36728/Mameneko,https://myanimelist.net/anime/36728/Mameneko/pics,5.97
103,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,408,Movie,1,Apr 2015 - Apr 2015,252694,https://myanimelist.net/anime/28675/Kyoukai_no_Kanata_Movie_2__Ill_Be_Here_-_Mirai-hen,https://myanimelist.net/anime/28675/Kyoukai_no_Kanata_Movie_2__Ill_Be_Here_-_Mirai-hen/pics,8.15
104,Seishun Anime Zenshuu,6443,TV,32,Apr 1986 - Dec 1986,2052,https://myanimelist.net/anime/4723/Seishun_Anime_Zenshuu,https://myanimelist.net/anime/4723/Seishun_Anime_Zenshuu/pics,6.5
105,Captain Tsubasa J,2632,TV,47,Oct 1994 - Dec 1995,29002,https://myanimelist.net/anime/1674/Captain_Tsubasa_J,https://myanimelist.net/anime/1674/Captain_Tsubasa_J/pics,7.28
106,Hello Kitty no Yuki no Joou,9581,OVA,1,Dec 2001 - Dec 2001,605,https://myanimelist.net/anime/22485/Hello_Kitty_no_Yuki_no_Joou,https://myanimelist.net/anime/22485/Hello_Kitty_no_Yuki_no_Joou/pics,5.84
107,Cardfight!! Vanguard: will+Dress Season 2,5392,TV,12,Jan 2023 - Apr 2023,3660,https://myanimelist.net/anime/49820/Cardfight_Vanguard__will_Dress_Season_2,https://myanimelist.net/anime/49820/Cardfight_Vanguard__will_Dress_Season_2/pics,6.69
108,Tono to Issho,6527,OVA,1,Mar 2010 - Mar 2010,3945,https://myanimelist.net/anime/7591/Tono_to_Issho,https://myanimelist.net/anime/7591/Tono_to_Issho/pics,6.48
109,Shuangsheng Lingtan,3528,ONA,20,Aug 2016 - Jan 2017,13827,https://myanimelist.net/anime/33969/Shuangsheng_Lingtan,https://myanimelist.net/anime/33969/Shuangsheng_Lingtan/pics,7.11
110,PES: Peace Eco Smile,10732,ONA,7,May 2012 - Aug 2012,3688,https://myanimelist.net/anime/13427/PES__Peace_Eco_Smile,https://myanimelist.net/anime/13427/PES__Peace_Eco_Smile/pics,5.53
111,Made in Abyss,62,TV,13,Jul 2017 - Sep 2017,1300823,https://myanimelist.net/anime/34599/Made_in_Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss/pics,8.66
112,Kurokami The Animation,3420,TV,23,Jan 2009 - Jun 2009,119111,https://myanimelist.net/anime/5079/Kurokami_The_Animation,https://myanimelist.net/anime/5079/Kurokami_The_Animation/pics,7.13
113,Suteneko Tora-chan,10316,Movie,1,Sep 1947 - Sep 1947,1609,https://myanimelist.net/anime/5662/Suteneko_Tora-chan,https://myanimelist.net/anime/5662/Suteneko_Tora-chan/pics,5.65
114,Rerere no Tensai Bakabon,8668,TV,24,Oct 1999 - Mar 2000,751,https://myanimelist.net/anime/10607/Rerere_no_Tensai_Bakabon,https://myanimelist.net/anime/10607/Rerere_no_Tensai_Bakabon/pics,6.05
115,Fushigi na Koala Blinky,8569,TV,26,Jul 1984 - Dec 1984,1070,https://myanimelist.net/anime/1333/Fushigi_na_Koala_Blinky,https://myanimelist.net/anime/1333/Fushigi_na_Koala_Blinky/pics,6.07
